@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute outputs-1 {0,1,2}

@data
199,'2019/12/08 21:58:50:210',1,1.002673,0.78773,0.597891,0.805309,0.222599,0.883016,-0.020356,0.866582,1
200,'2019/12/08 21:58:50:258',1,1.002673,0.78773,0.597891,0.805309,0.222599,0.883016,-0.020356,0.866582,1
201,'2019/12/08 21:58:50:261',1,1.002673,0.78773,0.597891,0.805309,0.222599,0.883016,-0.020356,0.866582,1
202,'2019/12/08 21:58:50:307',1,1.002673,0.78773,0.597891,0.805309,0.222599,0.883016,-0.020356,0.866582,1
203,'2019/12/08 21:58:50:311',1,1.002673,0.78773,0.597891,0.805309,0.222599,0.883016,-0.020356,0.866582,1
204,'2019/12/08 21:58:50:356',1,1.002673,0.78773,0.597891,0.805309,0.222599,0.883016,-0.020356,0.866582,1
205,'2019/12/08 21:58:50:359',1,1.002673,0.78773,0.597891,0.805309,0.222599,0.883016,-0.020356,0.866582,1
206,'2019/12/08 21:58:50:405',1,0.951824,0.770931,0.563043,0.795079,0.212819,0.876703,-0.025014,0.88477,1
207,'2019/12/08 21:58:50:408',1,0.951824,0.770931,0.563043,0.795079,0.212819,0.876703,-0.025014,0.88477,1
208,'2019/12/08 21:58:50:456',1,0.951824,0.770931,0.563043,0.795079,0.212819,0.876703,-0.025014,0.88477,1
209,'2019/12/08 21:58:50:459',1,0.951824,0.770931,0.563043,0.795079,0.212819,0.876703,-0.025014,0.88477,1
